class,bare_soil
790.33,2.8810000000000004e-05
791.65,6.3299999999999995e-06
792.97,8.44e-06
794.29,7.000000000000001e-06
795.6,1.918e-05
796.92,2.488e-05
798.24,1.337e-05
799.56,1.824e-05
800.88,5.4300000000000005e-06
802.2,1.184e-05
803.52,2.217e-05
804.84,1.8129999999999998e-05
806.15,5.7000000000000005e-06
807.47,1.176e-05
808.79,1.244e-05
810.11,7.69e-06
811.43,2.4959999999999998e-05
812.75,7.1e-06
814.07,8.740000000000001e-06
815.38,1.097e-05
816.7,1.369e-05
818.02,9.18e-06
819.34,1.063e-05
820.66,9.66e-06
821.98,1.69e-05
823.3,1.275e-05
824.62,2.962e-05
825.93,1.894e-05
827.25,7.630000000000001e-06
828.57,4.43e-06
829.89,1.94e-05
831.21,2.4240000000000002e-05
832.53,7.22e-06
833.85,1.9869999999999998e-05
835.16,4.5e-06
836.48,1.323e-05
837.8,2.169e-05
839.12,1.605e-05
840.44,5.32e-06
841.76,6.3200000000000005e-06
843.08,9.139999999999999e-06
844.4,8.550000000000001e-06
845.71,2.032e-05
847.03,9.03e-06
848.35,2.2009999999999998e-05
849.67,8.949999999999999e-06
850.99,1.89e-05
852.31,1.903e-05
853.63,8.459999999999999e-06
854.95,2.089e-05
856.26,1.3950000000000002e-05
857.58,9.84e-06
858.9,2.087e-05
860.22,7.14e-06
861.54,7.64e-06
862.86,1.47e-05
864.18,1.237e-05
865.49,2.7239999999999997e-05
866.81,1.986e-05
868.13,8.200000000000001e-06
869.45,5.25e-06
870.77,1.97e-05
872.09,2.457e-05
873.41,1.394e-05
874.73,1.958e-05
876.04,7.699999999999999e-06
877.36,1.664e-05
878.68,2.1609999999999998e-05
880.0,1.862e-05
881.32,1.815e-05
882.64,1.3950000000000002e-05
883.96,1.2939999999999998e-05
885.27,2.132e-05
886.59,2.4069999999999998e-05
887.91,9.62e-06
889.23,2.225e-05
890.55,9.289999999999999e-06
891.87,1.417e-05
893.19,1.908e-05
894.51,7.4899999999999994e-06
895.82,7.26e-06
897.14,1.824e-05
898.46,1.232e-05
899.78,2.863e-05
901.1,1.924e-05
902.42,8.49e-06
903.74,1.408e-05
905.05,1.66e-05
906.37,2.5480000000000003e-05
907.69,2.039e-05
909.01,1.986e-05
910.33,5.44e-06
911.65,1.933e-05
912.97,1.943e-05
914.29,1.499e-05
915.6,1.6e-05
916.92,4.98e-06
918.24,1.099e-05
919.56,2.223e-05
920.88,2.256e-05
922.2,7.16e-06
923.52,2.486e-05
924.84,9.87e-06
926.15,2.155e-05
927.47,2.0019999999999998e-05
928.79,7.22e-06
930.11,2.3860000000000002e-05
931.43,1.66e-05
932.75,1.358e-05
934.07,1.818e-05
935.38,9.79e-06
936.7,8.53e-06
938.02,1.6270000000000002e-05
939.34,1.172e-05
940.66,2.874e-05
941.98,1.981e-05
943.3,1.218e-05
944.62,6.3399999999999994e-06
945.93,1.84e-05
947.25,2.347e-05
948.57,1.36e-05
949.89,1.665e-05
951.21,4.33e-06
952.53,1.785e-05
953.85,1.908e-05
955.16,1.674e-05
956.48,1.927e-05
957.8,1.261e-05
959.12,1.031e-05
960.44,2.1609999999999998e-05
961.76,2.644e-05
963.08,4.44e-06
964.4,2.277e-05
965.71,9.52e-06
967.03,1.293e-05
968.35,1.8959999999999998e-05
969.67,7.11e-06
970.99,8.73e-06
972.31,1.772e-05
973.63,1.148e-05
974.95,2.888e-05
976.26,1.846e-05
977.58,9.329999999999999e-06
978.9,1.608e-05
980.22,2.0019999999999998e-05
981.54,2.495e-05
982.86,2.138e-05
984.18,2.001e-05
985.49,5.58e-06
986.81,1.834e-05
988.13,2.275e-05
989.45,1.416e-05
990.77,2.245e-05
992.09,7.07e-06
993.41,9.64e-06
994.73,2.1570000000000002e-05
996.04,2.085e-05
997.36,8.079999999999999e-06
998.68,2.544e-05
1000.0,1.13e-05
