class,forest
679.56,4.69e-06
680.88,5.66e-06
682.2,1.133e-05
683.52,2.093e-05
684.84,1.203e-05
686.15,6.809999999999999e-06
687.47,1.097e-05
688.79,9.7e-06
690.11,9.66e-06
691.43,1.229e-05
692.75,8.32e-06
694.07,3.15e-06
695.38,2.56e-05
696.7,1.891e-05
698.02,1.129e-05
699.34,6.619999999999999e-06
700.66,2.93e-06
701.98,7.240000000000001e-06
703.3,1.331e-05
704.62,2.4449999999999998e-05
705.93,4.31e-06
707.25,9.43e-06
708.57,8.49e-06
709.89,1.862e-05
711.21,2.6629999999999997e-05
712.53,7.249999999999999e-06
713.85,2.303e-05
715.16,5.680000000000001e-06
716.48,1.0520000000000001e-05
717.8,1.833e-05
719.12,1.009e-05
720.44,6.02e-06
721.76,4.94e-06
723.08,1.203e-05
724.4,8.62e-06
725.71,1.223e-05
727.03,9.479999999999999e-06
728.35,3.4200000000000003e-06
729.67,1.291e-05
730.99,2.118e-05
732.31,7.55e-06
733.63,8.16e-06
734.95,6.0699999999999995e-06
736.26,1.793e-05
737.58,1.52e-05
738.9,8.740000000000001e-06
740.22,1.66e-05
741.54,1.011e-05
742.86,5.1799999999999995e-06
744.18,1.957e-05
745.49,2.813e-05
746.81,6.370000000000001e-06
748.13,7.42e-06
749.45,3.7199999999999995e-06
750.77,1.207e-05
752.09,2.84e-05
753.41,8.400000000000001e-06
754.73,6.4e-06
756.04,5.58e-06
757.36,1.19e-05
758.68,1.983e-05
760.0,1.1419999999999999e-05
761.32,7.37e-06
762.64,1.736e-05
763.96,1.0140000000000001e-05
765.27,1.046e-05
766.59,1.811e-05
767.91,5.729999999999999e-06
769.23,4.1000000000000006e-06
770.55,1.787e-05
771.87,1.837e-05
773.19,9.37e-06
774.51,8.28e-06
775.82,5.47e-06
777.14,9.06e-06
778.46,1.516e-05
779.78,2.486e-05
781.1,6.3100000000000006e-06
782.42,9.07e-06
783.74,6.619999999999999e-06
785.05,2.159e-05
786.37,2.605e-05
787.69,7.190000000000001e-06
789.01,2.152e-05
790.33,8.44e-06
791.65,1.073e-05
792.97,2.0019999999999998e-05
794.29,7.66e-06
795.6,6.9599999999999994e-06
796.92,7.36e-06
798.24,1.222e-05
799.56,6.3399999999999994e-06
800.88,1.352e-05
802.2,6.6799999999999996e-06
803.52,4.68e-06
804.84,1.3650000000000001e-05
806.15,2.289e-05
807.47,5.66e-06
808.79,8.799999999999999e-06
810.11,4.94e-06
811.43,1.703e-05
812.75,1.496e-05
814.07,6.09e-06
815.38,2.158e-05
816.7,9.460000000000001e-06
818.02,9.24e-06
819.34,2.1099999999999998e-05
820.66,2.7779999999999998e-05
821.98,8.51e-06
823.3,9.6e-06
824.62,7.79e-06
825.93,1.003e-05
827.25,2.6989999999999997e-05
828.57,6.8599999999999995e-06
829.89,6.51e-06
831.21,5.99e-06
832.53,1.3000000000000001e-05
833.85,1.993e-05
835.16,1.069e-05
836.48,8e-06
837.8,1.408e-05
839.12,1.125e-05
840.44,9.16e-06
841.76,1.821e-05
843.08,8.34e-06
844.4,3.5000000000000004e-06
845.71,1.454e-05
847.03,1.767e-05
848.35,7.37e-06
849.67,9.04e-06
850.99,6.45e-06
852.31,2e-05
853.63,1.826e-05
854.95,2.444e-05
856.26,2.077e-05
857.58,8.17e-06
858.9,6.58e-06
860.22,1.969e-05
861.54,2.822e-05
862.86,2.014e-05
864.18,2.23e-05
865.49,8e-06
866.81,2.1249999999999998e-05
868.13,1.864e-05
869.45,9.93e-06
870.77,1.948e-05
872.09,6.6799999999999996e-06
873.41,1.009e-05
874.73,2.039e-05
876.04,9.479999999999999e-06
877.36,9.77e-06
878.68,1.4499999999999998e-05
880.0,1e-05
881.32,2.393e-05
882.64,1.947e-05
883.96,7.07e-06
885.27,8.86e-06
886.59,2.003e-05
887.91,1.886e-05
889.23,2.016e-05
890.55,1.927e-05
891.87,9.44e-06
893.19,1.742e-05
894.51,1.965e-05
895.82,2.561e-05
897.14,2.229e-05
898.46,8.65e-06
899.78,6.19e-06
901.1,1.867e-05
902.42,2.923e-05
903.74,8.269999999999999e-06
905.05,1.94e-05
906.37,5.08e-06
907.69,1.2620000000000001e-05
909.01,2.1360000000000002e-05
910.33,1.008e-05
911.65,6.55e-06
912.97,1.316e-05
914.29,7.84e-06
915.6,2.048e-05
916.92,2.023e-05
918.24,9.97e-06
919.56,1.4089999999999999e-05
920.88,1.8160000000000002e-05
922.2,1.538e-05
923.52,1.715e-05
924.84,6.4199999999999995e-06
926.15,8.25e-06
927.47,1.84e-05
928.79,1.508e-05
930.11,2.291e-05
931.43,1.844e-05
932.75,7.3800000000000005e-06
934.07,7.71e-06
935.38,2.179e-05
936.7,2.68e-05
938.02,1.872e-05
939.34,2.225e-05
940.66,8.12e-06
941.98,2.034e-05
943.3,1.8509999999999997e-05
944.62,1.2540000000000002e-05
945.93,2.099e-05
947.25,6.55e-06
948.57,1.3009999999999999e-05
949.89,2.106e-05
951.21,1.243e-05
952.53,6.58e-06
953.85,1.496e-05
955.16,7.65e-06
956.48,2.115e-05
957.8,2.169e-05
959.12,7.69e-06
960.44,7.61e-06
961.76,1.7480000000000002e-05
963.08,1.6839999999999998e-05
964.4,1.859e-05
965.71,2.1740000000000002e-05
967.03,8.32e-06
968.35,1.548e-05
969.67,1.901e-05
970.99,2.596e-05
972.31,2.111e-05
973.63,9.760000000000001e-06
974.95,7.9e-06
976.26,1.938e-05
977.58,2.994e-05
978.9,9.54e-06
980.22,2.022e-05
981.54,7.5600000000000005e-06
982.86,1.047e-05
984.18,2.177e-05
985.49,1.186e-05
986.81,8.81e-06
988.13,1.422e-05
989.45,1.154e-05
990.77,2.387e-05
992.09,2.112e-05
993.41,9.270000000000001e-06
994.73,1.623e-05
996.04,1.718e-05
997.36,2.024e-05
998.68,1.711e-05
1000.0,7.3999999999999995e-06
