class,water
592.53,1.026e-05
593.85,1.326e-05
595.16,2.743e-05
596.48,7.090000000000001e-06
597.8,8.32e-06
599.12,7.670000000000001e-06
600.44,1.912e-05
601.76,2.682e-05
603.08,4.62e-06
604.4,1.313e-05
605.71,6.67e-06
607.03,9.12e-06
608.35,2.062e-05
609.67,8.390000000000001e-06
610.99,7.08e-06
612.31,7.77e-06
613.63,1.2970000000000001e-05
614.95,1.081e-05
616.26,1.293e-05
617.58,9.09e-06
618.9,2.65e-06
620.22,9.990000000000001e-06
621.54,2.023e-05
622.86,1.2270000000000001e-05
624.18,6.21e-06
625.49,1.019e-05
626.81,2.046e-05
628.13,1.361e-05
629.45,1.11e-05
630.77,9.810000000000001e-06
632.09,1.012e-05
633.41,6.0600000000000004e-06
634.73,1.7630000000000002e-05
636.04,3.094e-05
637.36,4e-06
638.68,8.11e-06
640.0,7.32e-06
641.32,9.96e-06
642.64,2.786e-05
643.96,1.156e-05
645.27,6.36e-06
646.59,5.78e-06
647.91,1.059e-05
649.23,2.011e-05
650.55,1.531e-05
651.87,9.289999999999999e-06
653.19,9.7e-06
654.51,8.1e-06
655.82,1.132e-05
657.14,1.386e-05
658.46,7.23e-06
659.78,5.45e-06
661.1,1.941e-05
662.42,1.563e-05
663.74,1.0330000000000001e-05
665.05,7.41e-06
666.37,1.077e-05
667.69,4.81e-06
669.01,1.2299999999999999e-05
670.33,2.8849999999999997e-05
671.65,3.77e-06
672.97,6.5900000000000004e-06
674.29,9.110000000000001e-06
675.6,2.2309999999999998e-05
676.92,2.7629999999999998e-05
678.24,5.7000000000000005e-06
679.56,1.081e-05
680.88,1.017e-05
682.2,1.022e-05
683.52,2.0549999999999998e-05
684.84,1.049e-05
686.15,4.24e-06
687.47,5.67e-06
688.79,1.016e-05
690.11,1.084e-05
691.43,1.581e-05
692.75,6.3100000000000006e-06
694.07,4.880000000000001e-06
695.38,1.204e-05
696.7,1.706e-05
698.02,1.298e-05
699.34,5.67e-06
700.66,1.057e-05
701.98,1.782e-05
703.3,1.255e-05
704.62,7.27e-06
705.93,2.165e-05
707.25,9.810000000000001e-06
708.57,6.45e-06
709.89,1.6689999999999998e-05
711.21,3.008e-05
712.53,8.64e-06
713.85,9.51e-06
715.16,7.65e-06
716.48,1.176e-05
717.8,2.8539999999999998e-05
719.12,1.258e-05
720.44,6.270000000000001e-06
721.76,7.46e-06
723.08,1.153e-05
724.4,1.797e-05
725.71,1.203e-05
727.03,8.47e-06
728.35,1.296e-05
729.67,9.84e-06
730.99,9.289999999999999e-06
732.31,1.782e-05
733.63,8.25e-06
734.95,3.7800000000000002e-06
736.26,1.527e-05
737.58,1.56e-05
738.9,7.699999999999999e-06
740.22,7.13e-06
741.54,1.095e-05
742.86,7.699999999999999e-06
744.18,1.0929999999999999e-05
745.49,2.792e-05
746.81,2.3699999999999998e-06
748.13,1.061e-05
749.45,6.719999999999999e-06
750.77,1.979e-05
752.09,2.717e-05
753.41,7.41e-06
754.73,1.89e-05
756.04,6.36e-06
757.36,1.037e-05
758.68,2.165e-05
760.0,9.63e-06
761.32,4.64e-06
762.64,6.8599999999999995e-06
763.96,1.3420000000000002e-05
765.27,1.05e-05
766.59,1.5490000000000002e-05
767.91,7.37e-06
769.23,5.65e-06
770.55,1.0019999999999999e-05
771.87,1.583e-05
773.19,1.912e-05
774.51,8.550000000000001e-06
775.82,1.0359999999999999e-05
777.14,1.666e-05
778.46,1.452e-05
779.78,8.57e-06
781.1,1.815e-05
782.42,1.003e-05
783.74,4.19e-06
785.05,1.821e-05
786.37,2.968e-05
787.69,6.39e-06
789.01,9.460000000000001e-06
790.33,7.589999999999999e-06
791.65,9.71e-06
792.97,2.6150000000000002e-05
794.29,1.031e-05
795.6,4.89e-06
796.92,2.98e-06
798.24,1.08e-05
799.56,1.9e-05
800.88,1.1930000000000001e-05
802.2,7.33e-06
803.52,1.072e-05
804.84,1.16e-05
806.15,9.810000000000001e-06
807.47,1.6289999999999998e-05
808.79,1.067e-05
810.11,3.24e-06
811.43,1.825e-05
812.75,1.42e-05
814.07,8.050000000000001e-06
815.38,5.91e-06
816.7,9.78e-06
818.02,8.73e-06
819.34,1.626e-05
820.66,2.8000000000000003e-05
821.98,4.68e-06
823.3,9.859999999999999e-06
824.62,7.04e-06
825.93,1.874e-05
827.25,2.8349999999999998e-05
828.57,7.5600000000000005e-06
829.89,2.177e-05
831.21,6.48e-06
832.53,1.261e-05
833.85,2.06e-05
835.16,1.3539999999999999e-05
836.48,6.97e-06
837.8,5.58e-06
839.12,1.071e-05
840.44,9.139999999999999e-06
841.76,1.466e-05
843.08,8.17e-06
844.4,4.2999999999999995e-06
845.71,1.081e-05
847.03,1.679e-05
848.35,2.1190000000000002e-05
849.67,8.13e-06
850.99,1.143e-05
852.31,1.826e-05
853.63,1.451e-05
854.95,2.061e-05
856.26,1.867e-05
857.58,1.057e-05
858.9,1.416e-05
860.22,2.214e-05
861.54,2.858e-05
862.86,1.792e-05
864.18,8.44e-06
865.49,5.3400000000000005e-06
866.81,1.754e-05
868.13,2.856e-05
869.45,9.859999999999999e-06
870.77,2.273e-05
872.09,6.48e-06
873.41,1.3009999999999999e-05
874.73,2.2919999999999997e-05
876.04,1.4480000000000002e-05
877.36,8.010000000000001e-06
878.68,1.329e-05
880.0,9.45e-06
881.32,2.1249999999999998e-05
882.64,2.059e-05
883.96,7.84e-06
885.27,1.188e-05
886.59,1.4599999999999999e-05
887.91,1.585e-05
889.23,2.008e-05
890.55,1.106e-05
891.87,8.31e-06
893.19,1.8310000000000003e-05
894.51,1.039e-05
895.82,2.91e-05
897.14,1.814e-05
898.46,7.860000000000001e-06
899.78,4.06e-06
901.1,1.7369999999999998e-05
902.42,2.792e-05
903.74,1.929e-05
905.05,1.928e-05
906.37,8.930000000000001e-06
907.69,1.785e-05
909.01,2.089e-05
910.33,1.536e-05
911.65,2.2270000000000002e-05
912.97,6.7699999999999996e-06
914.29,9.62e-06
915.6,2.3219999999999998e-05
916.92,1.467e-05
918.24,5.94e-06
919.56,1.414e-05
920.88,9.98e-06
922.2,1.3889999999999999e-05
923.52,2.032e-05
924.84,7.3899999999999995e-06
926.15,1.088e-05
927.47,1.74e-05
928.79,1.552e-05
930.11,1.834e-05
931.43,1.829e-05
932.75,9.34e-06
934.07,1.758e-05
935.38,2.279e-05
936.7,3.233e-05
938.02,1.9339999999999998e-05
939.34,8.799999999999999e-06
940.66,5.4300000000000005e-06
941.98,2.128e-05
943.3,2.6700000000000002e-05
944.62,1.0209999999999999e-05
945.93,2.291e-05
947.25,6.79e-06
948.57,1.051e-05
949.89,1.883e-05
951.21,1.434e-05
952.53,7.68e-06
953.85,1.698e-05
955.16,1.4580000000000001e-05
956.48,1.956e-05
957.8,1.957e-05
959.12,7.95e-06
960.44,1.252e-05
961.76,1.755e-05
963.08,1.8390000000000002e-05
964.4,1.825e-05
965.71,9.479999999999999e-06
967.03,9.19e-06
968.35,1.6e-05
969.67,1.3650000000000001e-05
970.99,2.732e-05
972.31,1.897e-05
973.63,8.85e-06
974.95,6.78e-06
976.26,1.936e-05
977.58,2.674e-05
978.9,1.925e-05
980.22,1.87e-05
981.54,6.73e-06
982.86,1.964e-05
984.18,2.1249999999999998e-05
985.49,1.3150000000000001e-05
986.81,1.915e-05
988.13,7.74e-06
989.45,1.031e-05
990.77,1.964e-05
992.09,1.6159999999999998e-05
993.41,8.890000000000001e-06
994.73,1.2640000000000001e-05
996.04,8.68e-06
997.36,1.7899999999999998e-05
998.68,2.1360000000000002e-05
1000.0,9.98e-06
